"Time","Header","half0_0","half0_1","half0_2","half0_3","half1_3","half1_2","half1_1","half1_0","Priority_Index","H_U","Class_Type","Address","Data_Item_Type","Data_Item_Number","Counter","Att"
"3665640969","23060080","3","3","C2","0","0","8","0","0"
"3665640969","20860000","0","2","0","1","AA","0","5","0"
"3665640969","20860082","0","4","0","1","AA","27","5","0"
"3665640969","20860104","0","0","0","0","AA","FF","0","0"
"3665640969","20860186","0","2","0","0","AA","FF","0","0"
"3665640969","20860208","0","4","0","1","AA","27","2","0"
"3665640969","00002086028A","0","0","0","0","AA","FF","0","0"
"3665640969","00002086400C","0","0","2","0","AA","4","5","0"
"3665640969","00002086408E","0","0","1","1","AA","4","2","1"
"3665640969","22860002","0","2","0","1","AA","0","5","0"
"3665640969","22860084","0","4","0","1","AA","27","5","0"
"3665640969","22860106","0","0","0","0","AA","FF","0","0"
"3665640969","22860188","0","2","0","0","AA","FF","0","0"
"3665640969","00002286020A","0","4","0","1","AA","27","2","0"
"3665640969","00002286028C","0","0","0","0","AA","FF","0","0"
"3665640969","00002286400E","0","0","2","0","AA","4","5","0"
"3665640969","22864080","0","0","1","1","AA","4","2","1"
"3665640969","20864100","0","0","1","0","AA","FF","0","0"
"3665640969","20868002","0","0","0","0","AA","18","5","0"
"3665640969","20868084","0","0","0","1","AA","9","5","0"
"3665640969","20868106","0","0","0","1","AA","9","5","0"
"3665640969","20868188","0","0","0","0","AA","4","5","0"
"3665640969","00002086820A","0","0","0","0","AA","FF","0","0"
"3665640969","20940000","0","0","0","0","AA","FF","0","0"
"3665640969","20940082","0","2","0","1","AA","18","5","0"
"3665640969","22864102","0","0","1","0","AA","FF","0","0"
"3665640969","22868004","0","0","0","0","AA","18","5","0"
"3665640969","22868086","0","0","0","1","AA","9","5","0"
"3665640969","22868108","0","0","0","1","AA","9","5","0"
"3665640969","00002286818A","0","0","0","0","AA","4","5","0"
"3665640969","00002286820C","0","0","0","0","AA","FF","0","0"
"3665640969","20940104","0","0","0","0","AA","FF","0","0"
"3665640969","20940186","0","0","0","0","AA","FF","0","0"
"3665640969","20940208","0","2","0","1","AA","18","2","0"
"3665640969","00002094028A","0","0","0","0","AA","4","2","0"
"3665640969","00002094400C","0","0","2","0","AA","4","5","0"
