Time,Header,half0_0,half0_1,half0_2,half0_3,half1_3,half1_2,half1_1,half1_0,Priority Index,H/U,Class Type,Address,Data Item Type,Data Item Number,Counter,Att
3668498010,00003786808A,1,82,6D,CF,1,0,1,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,5,0
3668498010,00003786810C,1,8D,6D,C4,2,0,8,14,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,6,0
3668498010,00003786808E,1,61,6D,CF,5,0,5,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,7,0
3668498010,37868100,1,61,6D,B9,2,0,46,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,0,0
3668498010,37868082,1,56,6D,AE,5,0,5,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,1,0
3668498010,37868104,1,82,6D,C4,0,0,DF,10,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,2,0
3668498010,37868086,1,77,6D,C4,7,0,7,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,3,0
3668498010,37868108,1,61,6D,B9,2,0,4,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,4,0
3668498010,00003786808A,1,99,6D,C4,6,0,6,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,5,0
3668498010,00003786810C,1,61,6D,B9,0,0,18,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,6,0
3668498010,00003786808E,1,99,6D,CF,6,0,6,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,7,0
3668498010,37868100,1,82,6D,C4,2,0,ED,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,0,0
3668498010,37868082,1,61,6D,B9,1,0,1,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,1,0
3668498010,37868104,1,8D,6D,AE,2,0,FE,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,2,0
3668498010,37868086,1,61,6D,C4,5,0,5,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,3,0
3668498010,37868108,1,56,6D,CF,2,0,B2,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,4,0
3668498010,00003786808A,1,8D,6D,DB,0,0,0,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,5,0
3668498010,00003786810C,1,56,6D,CF,4,0,1,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,6,0
3668498010,00003786808E,1,8D,6D,CF,4,0,4,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,7,0
3668498010,37868100,1,8D,6D,C4,1,0,D3,13,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,0,0
3668498010,37868082,1,77,6D,DB,8,0,8,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,1,0
3668498010,37868104,1,6C,6D,E6,3,0,0A,12,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,2,0
3668498010,37868086,1,99,6D,E6,3,0,3,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,3,0
3668498010,37868108,1,61,6D,E6,0,0,54,13,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,4,0
3668498010,00003786808A,1,99,6D,CF,0A,0,0A,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,5,0
3668498010,00003786810C,1,61,6D,CF,4,0,0B,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,6,0
3668498010,00003786808E,1,82,6D,DB,2,0,2,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,7,0
3668498010,37868100,1,82,6D,DB,8,0,39,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,0,0
3668498010,37868082,1,82,6D,DB,3,0,3,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,1,0
3668498010,37868104,1,82,6D,CF,1,0,16,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,2,0
3668498010,37868086,1,82,6D,CF,1,0,1,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,3,0
3668498010,37868108,1,8D,6D,FC,3,0,AB,11,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,4,0
3668498010,00003786808A,1,77,6D,DB,2,0,2,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,5,0
3668498010,00003786810C,1,6C,6D,DB,1,0,FE,10,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,6,0
3668498010,00003786808E,1,99,6D,DB,3,0,3,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,7,0
3668498010,37868100,1,8D,6D,CF,0,0,4F,13,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,0,0
3668498010,37868082,1,6C,6D,E6,2,0,2,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,1,0
3668498010,37868104,1,82,6D,E6,2,0,EC,10,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,2,0
3668498010,37868086,1,61,6D,DB,8,0,8,0,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),1,3,0
3668498010,37868108,1,6C,6D,DB,2,0,46,12,5,Unit(1),I/O_Data(3),3,Set_Timestamp_Message_Number(2),2,4,0
