"Time","Header","half0_0","half0_1","half0_2","half0_3","half1_3","half1_2","half1_1","half1_0","Priority Index","H/U","Class Type","Address","Data Item Type","Data Item Number","Counter","Att"
"3670760095.579142","000023060080","03","03","C2","00","00","00","04","00","0","Unit(1)","Status(2)","3","0","1","0","0"
"3670760095.723387","000020860000","00","02","00","01","00","05","00","AA","0","Host(0)","I/O_Configuration(1)","3","0","0","0","0"
"3670760095.723671","000020860082","00","04","00","01","00","05","27","AA","0","Host(0)","I/O_Configuration(1)","3","0","1","1","0"
"3670760095.723966","000020860104","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","3","0","2","2","0"
"3670760095.724252","000020860186","00","02","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","3","0","3","3","0"
"3670760095.724540","000020860208","00","04","00","01","00","02","27","AA","0","Host(0)","I/O_Configuration(1)","3","0","4","4","0"
"3670760095.724828","00002086028A","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","3","0","5","5","0"
"3670760095.725120","00002086400C","00","00","02","00","00","05","04","AA","0","Host(0)","I/O_Configuration(1)","3","1","0","6","0"
"3670760095.725403","00002086408E","00","00","01","01","01","02","04","AA","0","Host(0)","I/O_Configuration(1)","3","1","1","7","0"
"3670760095.725691","000022860002","00","02","00","01","00","05","00","AA","0","Unit(1)","I/O_Configuration(1)","3","0","0","1","0"
"3670760095.725987","000022860084","00","04","00","01","00","05","27","AA","0","Unit(1)","I/O_Configuration(1)","3","0","1","2","0"
"3670760095.726287","000022860106","00","00","00","00","00","00","FF","AA","0","Unit(1)","I/O_Configuration(1)","3","0","2","3","0"
"3670760095.726585","000022860188","00","02","00","00","00","00","FF","AA","0","Unit(1)","I/O_Configuration(1)","3","0","3","4","0"
"3670760095.726882","00002286020A","00","04","00","01","00","02","27","AA","0","Unit(1)","I/O_Configuration(1)","3","0","4","5","0"
"3670760095.727186","00002286028C","00","00","00","00","00","00","FF","AA","0","Unit(1)","I/O_Configuration(1)","3","0","5","6","0"
"3670760095.727481","00002286400E","00","00","02","00","00","05","04","AA","0","Unit(1)","I/O_Configuration(1)","3","1","0","7","0"
"3670760095.727779","000022864080","00","00","01","01","01","02","04","AA","0","Unit(1)","I/O_Configuration(1)","3","1","1","0","0"
"3670760095.728357","000020864100","00","00","01","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","3","1","2","0","0"
"3670760095.728645","000020868002","00","00","00","00","00","05","18","AA","0","Host(0)","I/O_Configuration(1)","3","2","0","1","0"
"3670760095.728933","000020868084","00","00","00","01","00","05","09","AA","0","Host(0)","I/O_Configuration(1)","3","2","1","2","0"
"3670760095.729219","000020868106","00","00","00","01","00","05","09","AA","0","Host(0)","I/O_Configuration(1)","3","2","2","3","0"
"3670760095.729507","000020868188","00","00","00","00","00","05","04","AA","0","Host(0)","I/O_Configuration(1)","3","2","3","4","0"
"3670760095.729797","00002086820A","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","3","2","4","5","0"
"3670760095.730093","000020940000","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","10","0","0","0","0"
"3670760095.730380","000020940082","00","02","00","01","00","05","18","AA","0","Host(0)","I/O_Configuration(1)","10","0","1","1","0"
"3670760095.730666","000022864102","00","00","01","00","00","00","FF","AA","0","Unit(1)","I/O_Configuration(1)","3","1","2","1","0"
"3670760095.730964","000022868004","00","00","00","00","00","05","18","AA","0","Unit(1)","I/O_Configuration(1)","3","2","0","2","0"
"3670760095.731257","000022868086","00","00","00","01","00","05","09","AA","0","Unit(1)","I/O_Configuration(1)","3","2","1","3","0"
"3670760095.731555","000022868108","00","00","00","01","00","05","09","AA","0","Unit(1)","I/O_Configuration(1)","3","2","2","4","0"
"3670760095.731852","00002286818A","00","00","00","00","00","05","04","AA","0","Unit(1)","I/O_Configuration(1)","3","2","3","5","0"
"3670760095.732155","00002286820C","00","00","00","00","00","00","FF","AA","0","Unit(1)","I/O_Configuration(1)","3","2","4","6","0"
"3670760095.733645","000020940104","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","10","0","2","2","0"
"3670760095.733933","000020940186","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","10","0","3","3","0"
"3670760095.734221","000020940208","00","02","00","01","00","02","18","AA","0","Host(0)","I/O_Configuration(1)","10","0","4","4","0"
"3670760095.734509","00002094028A","00","00","00","00","00","02","04","AA","0","Host(0)","I/O_Configuration(1)","10","0","5","5","0"
"3670760095.734797","00002094400C","00","00","02","00","00","05","04","AA","0","Host(0)","I/O_Configuration(1)","10","1","0","6","0"
"3670760095.735084","00002094408E","00","00","01","01","01","02","04","AA","0","Host(0)","I/O_Configuration(1)","10","1","1","7","0"
"3670760095.735373","000020944100","00","00","01","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","10","1","2","0","0"
"3670760095.735660","000020948002","00","00","00","00","00","05","18","AA","0","Host(0)","I/O_Configuration(1)","10","2","0","1","0"
"3670760095.738328","000020948084","00","00","00","01","00","05","09","AA","0","Host(0)","I/O_Configuration(1)","10","2","1","2","0"
"3670760095.738616","000020948106","00","00","00","01","00","05","09","AA","0","Host(0)","I/O_Configuration(1)","10","2","2","3","0"
"3670760095.738906","000020948188","00","00","00","00","00","05","04","AA","0","Host(0)","I/O_Configuration(1)","10","2","3","4","0"
"3670760095.739194","00002094820A","00","00","00","00","00","05","04","AA","0","Host(0)","I/O_Configuration(1)","10","2","4","5","0"
"3670760095.739484","0000208C0000","00","03","00","01","00","05","04","AA","0","Host(0)","I/O_Configuration(1)","6","0","0","0","0"
"3670760095.739769","0000208C0082","00","16","00","01","00","05","13","AA","0","Host(0)","I/O_Configuration(1)","6","0","1","1","0"
"3670760095.740060","0000208C0104","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","6","0","2","2","0"
"3670760095.740346","0000208C0186","00","03","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","6","0","3","3","0"
"3670760095.743605","0000208C0208","00","16","00","01","00","02","05","AA","0","Host(0)","I/O_Configuration(1)","6","0","4","4","0"
"3670760095.743893","0000208C028A","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","6","0","5","5","0"
"3670760095.744186","0000208C400C","00","00","02","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","6","1","0","6","0"
"3670760095.744469","0000208C408E","00","0A","01","01","01","02","04","AA","0","Host(0)","I/O_Configuration(1)","6","1","1","7","0"
"3670760095.744759","0000208C4100","00","00","01","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","6","1","2","0","0"
"3670760095.745045","0000208C8002","00","00","00","00","00","05","18","AA","0","Host(0)","I/O_Configuration(1)","6","2","0","1","0"
"3670760095.745333","0000208C8084","00","00","00","01","00","05","09","AA","0","Host(0)","I/O_Configuration(1)","6","2","1","2","0"
"3670760095.745618","0000208C8106","00","00","00","01","00","05","09","AA","0","Host(0)","I/O_Configuration(1)","6","2","2","3","0"
"3670760095.748331","0000208C8188","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","6","2","3","4","0"
"3670760095.748621","0000208C820A","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","6","2","4","5","0"
"3670760095.748916","000020920000","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","9","0","0","0","0"
"3670760095.749204","000020920082","00","06","00","01","00","05","05","AA","0","Host(0)","I/O_Configuration(1)","9","0","1","1","0"
"3670760095.749496","000020920104","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","9","0","2","2","0"
"3670760095.749787","000020920186","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","9","0","3","3","0"
"3670760095.750080","000020920208","00","06","00","01","00","02","05","AA","0","Host(0)","I/O_Configuration(1)","9","0","4","4","0"
"3670760095.750368","00002092028A","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","9","0","5","5","0"
"3670760095.753335","00002092400C","00","00","02","00","00","05","04","AA","0","Host(0)","I/O_Configuration(1)","9","1","0","6","0"
"3670760095.753623","00002092408E","00","00","01","01","00","02","04","AA","0","Host(0)","I/O_Configuration(1)","9","1","1","7","0"
"3670760095.753915","000020924100","00","00","01","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","9","1","2","0","0"
"3670760095.754203","000020928002","00","00","00","00","00","05","18","AA","0","Host(0)","I/O_Configuration(1)","9","2","0","1","0"
"3670760095.754489","000020928084","00","00","00","01","00","05","09","AA","0","Host(0)","I/O_Configuration(1)","9","2","1","2","0"
"3670760095.754777","000020928106","00","00","00","01","00","05","09","AA","0","Host(0)","I/O_Configuration(1)","9","2","2","3","0"
"3670760095.755064","000020928188","00","00","00","01","00","05","04","AA","0","Host(0)","I/O_Configuration(1)","9","2","3","4","0"
"3670760095.755353","00002092820A","00","00","00","00","00","00","FF","AA","0","Host(0)","I/O_Configuration(1)","9","2","4","5","0"
"3670760095.758595","0000208A0000","00","00","00","00","00","05","05","AA","0","Host(0)","I/O_Configuration(1)","5","0","0","0","0"
