"<54>Aug 28 15:39:40 HL-ANTIVIRUS SymantecServer: ADPTKLT122","SHA-256: ","MD-5: ","Local: 192.168.1.8","Local: 3","Local: C85B76153E0A","Remote: 192.168.1.1","Remote: ","Remote: 3","Remote: 04A151C18142","ICMP","Outbound","Begin: 2019-08-28 15:33:30","End: 2019-08-28 15:33:30","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jvernale","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:24:47 HL-ANTIVIRUS SymantecServer: KALT-TomaszD","SHA-256: ","MD-5: ","Local: 10.181.10.10","Local: 3","Local: 54EE757094F0","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:33:27","End: 2019-08-28 15:33:27","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: tomasz.dacy","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:44:19 HL-ANTIVIRUS SymantecServer: KALT-BeataR","SHA-256: ","MD-5: ","Local: 10.181.10.60","Local: 3","Local: 54EE75512B57","Remote: 10.181.100.11","Remote: KTWDC01.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:33:25","End: 2019-08-28 15:33:25","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: beata.rusek","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:51:51 HL-ANTIVIRUS SymantecServer: ADPTKLT212","SHA-256: ","MD-5: ","Local: 192.168.0.8","Local: 3","Local: D43B047D4731","Remote: 208.59.247.46","Remote: ","Remote: 3","Remote: 5C8FE01D8667","ICMP","Outbound","Begin: 2019-08-28 15:33:14","End: 2019-08-28 15:33:14","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jdimauro","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:56:59 HL-ANTIVIRUS SymantecServer: INLT631","SHA-256: ","MD-5: ","Local: 192.168.1.5","Local: 3","Local: E4B31843F9FE","Remote: 125.22.47.125","Remote: ","Remote: 3","Remote: 74DADACCB9A2","ICMP","Outbound","Begin: 2019-08-28 15:33:12","End: 2019-08-28 15:33:12","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: shailendra","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 17:20:00 HL-ANTIVIRUS SymantecServer: UXBLT033","SHA-256: ","MD-5: ","Local: 192.168.0.27","Local: 3","Local: E4A4716F4CB7","Remote: 198.39.104.19","Remote: ","Remote: 3","Remote: 400D10C1B390","ICMP","Outbound","Begin: 2019-08-28 15:33:12","End: 2019-08-28 15:33:12","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jan_jansen","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 15:40:19 HL-ANTIVIRUS SymantecServer: KADT-LukaszM","SHA-256: ","MD-5: ","Local: 10.181.10.2","Local: 3","Local: 0026182638FC","Remote: 10.181.100.12","Remote: KTWDC02.sapiens.int","Remote: 3","Remote: 00A5BF471BC6","ICMP","Outbound","Begin: 2019-08-28 15:33:08","End: 2019-08-28 15:33:08","Occurrences: 1","Application: ","Rule: Block all other IP traffic and log","Location: External","User: lukasz.marcola","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:03:59 HL-ANTIVIRUS SymantecServer: HLLT-PC0JZYCH","SHA-256: ","MD-5: ","Local: 10.245.31.112","Local: 3","Local: F48C504B3CEB","Remote: 10.245.128.6","Remote: SAPIENS.INT","Remote: 3","Remote: 00090F090004","ICMP","Outbound","Begin: 2019-08-28 15:33:02","End: 2019-08-28 15:33:04","Occurrences: 3","Application: ","Rule: Block all other IP traffic and log","Location: External","User: Alice.EL.Al","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<54>Aug 28 16:07:59 HL-ANTIVIRUS SymantecServer: ADPTKLT156","SHA-256: ","MD-5: ","Local: 192.168.0.19","Local: 3","Local: 983B8F7B3B7B","Remote: 209.18.47.63","Remote: ","Remote: 3","Remote: E0885D13FF3E","ICMP","Outbound","Begin: 2019-08-28 15:33:00","End: 2019-08-28 15:33:06","Occurrences: 2","Application: ","Rule: Block all other IP traffic and log","Location: External","User: jkearse","Domain: ADAPTIK","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"<52>Aug 28 15:34:59 HL-ANTIVIRUS SymantecServer: HLLT-PF0IZNWB","SHA-256: 5379732000000000000000000000000000000000000000000000000000000000","MD-5: 53797320000000000000000000000000","Local: 10.245.160.97","Local: 137","Local: 0F0008000000","Remote: 194.194.248.161","Remote: SAPIENS.INT","Remote: 57432","Remote: 98D320000800","UDP","Inbound","Begin: 2019-08-28 15:32:56","End: 2019-08-28 15:32:57","Occurrences: 2","Application: C:/WINDOWS/system32/NTOSKRNL.EXE","Rule: Block Local File Sharing","Location: External","User: dudi.gura","Domain: SAPIENS","Action: Blocked","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
